,playerId,matchId,matchDate,accelerations,aerialDuels,aerialDuelsWon,assists,attackingActions,backPasses,clearances,corners,counterpressingRecoveries,crosses,dangerousOpponentHalfRecoveries,dangerousOwnHalfLosses,defensiveActions,defensiveDuels,defensiveDuelsWon,directFreeKicks,directFreeKicksOnTarget,directRedCards,dribbles,dribblesAgainst,dribblesAgainstWon,duels,duelsWon,fieldAerialDuels,fieldAerialDuelsWon,forwardPasses,fouls,foulsSuffered,freeKicks,freeKicksOnTarget,gkAerialDuels,gkAerialDuelsWon,gkCleanSheets,gkConcededGoals,gkExits,gkSaves,gkShotsAgainst,gkSuccessfulExits,goalKicks,goalKicksLong,goalKicksShort,goals,headShots,interceptions,keyPasses,lateralPasses,linkupPlays,longPasses,looseBallDuels,looseBallDuelsWon,losses,matches,matchesComingOff,matchesInStart,matchesSubstituted,minutesOnField,minutesTagged,missedBalls,newDefensiveDuelsWon,newDuelsWon,newOffensiveDuelsWon,newSuccessfulDribbles,offensiveDuels,offensiveDuelsWon,offsides,opponentHalfRecoveries,ownHalfLosses,passes,passesToFinalThird,penalties,pressingDuels,pressingDuelsWon,progressivePasses,progressiveRun,receivedPass,recoveries,redCards,secondAssists,shotAssists,shotOnTargetAssists,shots,shotsBlocked,shotsOnTarget,slidingTackles,smartPasses,successfulAttackingActions,successfulBackPasses,successfulCrosses,successfulDefensiveAction,successfulDribbles,successfulForwardPasses,successfulGoalKicks,successfulKeyPasses,successfulLateralPasses,successfulLinkupPlays,successfulLongPasses,successfulPasses,successfulPassesToFinalThird,successfulPenalties,successfulProgressivePasses,successfulSlidingTackles,successfulSmartPasses,successfulThroughPasses,successfulVerticalPasses,thirdAssists,throughPasses,touchInBox,verticalPasses,xgAssist,xgSave,xgShot,yellowCards
0,3269,5146697,2020-07-08 10:30:00,10,0,12,5,7,8,6,3,4,3,9,5,6,3,3,2,5,9,12,9,7,4,7,4,12,9,3,5,6,0,11,7,12,5,11,7,1,10,3,3,11,11,0,1,8,3,9,5,1,8,0,4,8,9,11,7,5,3,11,2,9,10,6,1,3,6,0,8,7,2,0,7,2,4,8,9,6,1,5,12,6,2,8,6,11,4,5,11,5,4,12,6,7,12,1,9,10,10,5,0,8,7,4,10,6,1,8,3,11,10,1.2202970838693556,10
1,3269,5146707,2020-07-09 10:30:00,3,4,7,2,5,2,7,5,12,6,5,10,7,5,9,8,1,10,12,5,6,9,12,3,11,0,11,11,5,1,5,10,5,8,5,7,3,8,7,6,2,4,12,2,4,3,3,11,11,5,9,9,2,2,0,12,12,4,11,7,12,8,11,9,3,1,12,9,7,9,0,11,10,9,12,3,9,10,12,2,10,11,11,11,4,7,8,7,6,8,0,12,2,5,8,8,11,3,12,7,3,9,6,4,11,4,11,12,9,3,1.3924798927654356,2
2,3269,5146717,2020-07-10 10:30:00,2,5,6,7,6,10,7,12,12,5,11,4,7,4,8,5,3,5,3,12,7,0,6,1,4,9,9,1,0,12,5,3,1,6,1,0,1,6,6,4,8,11,0,7,1,9,2,2,6,3,11,4,9,1,0,1,6,11,11,0,12,6,0,10,6,5,8,11,5,1,3,4,3,6,7,8,2,0,9,11,12,1,1,8,8,11,5,11,10,9,6,5,10,6,2,12,10,8,1,7,7,5,11,12,8,5,3,0,1,5,1.8835275282520603,9
3,3269,5146727,2020-08-11 10:30:00,6,11,12,12,0,8,5,3,8,5,6,2,3,12,11,8,2,6,11,2,5,11,7,10,2,8,1,7,4,11,12,10,11,0,1,1,0,5,7,5,6,4,6,5,12,12,7,11,8,4,12,12,1,4,1,8,11,6,11,4,7,5,11,10,9,6,8,2,8,0,9,4,0,10,8,7,11,10,4,1,2,4,3,9,1,0,1,5,5,4,10,4,11,9,10,7,6,12,5,12,11,8,1,4,8,9,12,5,5,10,0.693639894008431,1
4,3269,5146737,2020-08-12 10:30:00,2,12,1,10,5,0,2,12,7,12,12,11,5,2,8,9,7,4,8,4,4,10,12,4,8,1,6,0,5,10,8,4,3,9,4,6,12,8,0,12,3,5,7,0,9,6,12,8,0,11,7,3,0,7,7,0,12,7,1,1,6,9,8,4,9,3,8,9,4,1,0,12,4,1,6,2,10,5,2,8,2,2,4,1,6,8,8,5,12,6,2,0,3,2,5,5,11,10,9,6,6,2,1,3,3,11,10,0,2,0,1.6099328081381508,2
5,3269,5146747,2020-08-13 10:30:00,0,9,6,8,11,11,0,9,5,9,8,10,12,12,6,3,3,4,6,3,10,6,8,2,5,0,5,1,1,12,1,6,11,1,9,3,10,11,2,8,12,8,4,2,3,1,3,8,8,12,6,0,6,11,9,5,11,5,11,9,12,3,9,8,7,3,0,2,11,7,6,9,4,8,5,6,5,7,9,2,1,3,3,10,2,9,1,0,6,8,11,5,4,12,12,6,11,6,9,9,0,3,8,3,0,9,1,11,0,0,1.395825726975294,8
6,3269,5146757,2020-09-14 10:30:00,1,8,9,11,3,8,5,8,9,6,5,1,9,7,11,0,12,8,3,7,11,11,12,0,10,7,0,10,3,9,7,0,10,4,2,8,3,10,7,3,1,6,2,1,5,6,10,7,3,4,11,4,9,10,10,10,10,2,2,8,7,0,9,1,7,12,1,3,7,10,1,2,7,8,10,4,4,3,8,2,8,12,7,5,1,8,2,8,11,9,7,11,0,0,6,3,12,5,4,2,4,9,12,2,1,6,7,6,12,6,1.8018397221757483,0
7,3269,5146767,2020-09-15 10:30:00,11,12,8,11,4,9,9,12,0,8,7,8,12,1,10,1,2,9,1,5,12,5,7,0,12,8,6,0,0,5,10,3,1,12,9,4,6,12,6,2,12,3,2,2,3,7,7,12,4,11,4,12,8,7,10,10,10,9,11,8,9,0,11,7,8,6,5,0,4,3,11,10,1,6,12,12,9,8,0,12,5,12,10,0,7,9,7,0,4,0,2,1,8,8,0,3,3,7,5,4,11,8,6,3,7,3,12,1,6,4,0.7651081282073517,0
8,3269,5146777,2020-09-16 10:30:00,4,4,9,7,12,4,10,12,8,3,12,10,6,10,8,5,7,7,4,4,10,10,11,9,4,6,2,8,7,11,12,11,5,12,3,9,9,10,5,3,12,0,6,10,11,11,5,1,0,0,7,12,1,12,0,4,10,3,3,11,8,7,9,3,4,6,7,9,0,0,6,3,2,8,7,11,10,9,2,0,2,6,2,12,2,8,5,5,1,11,5,2,5,1,1,9,11,10,7,9,10,3,2,5,5,7,3,6,11,10,0.8391097414492223,10
9,3269,5146787,2020-10-17 10:30:00,6,9,4,11,6,8,4,1,11,8,5,2,4,7,6,3,6,7,1,6,5,11,6,6,6,7,11,9,5,2,0,6,11,2,4,3,2,6,4,5,0,2,3,8,8,6,6,9,11,11,1,9,0,12,7,9,4,9,4,0,6,2,1,9,7,6,11,0,2,8,1,0,4,12,12,8,5,7,12,8,7,4,3,2,9,7,2,11,1,8,10,1,1,10,10,6,7,3,7,0,0,3,11,0,0,2,9,4,3,0,1.7136040067234952,6
